DEPTH	SECONDS	TPC_OUT	IN	OUT	MEAN_I
2	7516800	99.999444	25897324	25897180	122
2	7603200	99.999254	26156903	26156708	122
2	7632000	99.999351	26195070	26194900	122
2	7660800	99.999452	26285010	26284866	122
2	7689600	99.999466	26402800	26402659	122
2	7718400	99.999244	26443548	26443348	122
2	7747200	99.999450	26557279	26557133	122
2	7776000	99.999307	26704412	26704227	122
2	7804800	99.999331	26743664	26743485	122
2	7833600	99.999467	26848624	26848481	122
2	7862400	99.999233	27004708	27004501	122
2	7891200	99.999390	27046585	27046420	122
2	7920000	99.999410	27123629	27123469	122
3	28800	99.381233	44120	43847	100
3	57600	99.886937	159203	159023	100
3	86400	99.951828	348748	348580	100
3	115200	99.942082	393661	393433	100
3	144000	99.956684	517132	516908	100
3	172800	99.970007	706835	706623	100
3	201600	99.968495	752273	752036	100
3	230400	99.972331	867405	867165	100
3	259200	99.973629	1031423	1031151	100
3	288000	99.979996	1079761	1079545	100
3	316800	99.984828	1219389	1219204	100
3	345600	99.986943	1386181	1386000	100
3	374400	99.979508	1434690	1434396	100
3	403200	99.987063	1584638	1584433	100
3	460800	99.984839	1820420	1820144	100
3	489600	99.990727	1941027	1940847	100
3	518400	99.991533	2137796	2137615	100
3	547200	99.989376	2183699	2183467	100
3	576000	99.991221	2300894	2300692	100
3	604800	99.991744	2495176	2494970	100
3	633600	99.991056	2538128	2537901	100
3	662400	99.986585	2653735	2653379	100
3	691200	99.993839	2840353	2840178	100
3	748800	99.993034	3000382	3000173	100
3	777600	99.994001	3183987	3183796	100
3	806400	99.992504	3228519	3228277	100
3	835200	99.994309	3338698	3338508	100
3	864000	99.994195	3496884	3496681	100
3	892800	99.994951	3545030	3544851	100
3	921600	99.994560	3676275	3676075	100
3	950400	99.994550	3835143	3834934	100
3	1008000	99.994810	4026634	4026425	100
3	1036800	99.995518	4217177	4216988	100
3	1065600	99.994366	4259708	4259468	100
3	1094400	99.994090	4382270	4382011	100
3	1123200	99.996003	4578104	4577921	100
3	1152000	99.994223	4621969	4621702	100
3	1180800	99.995954	4745336	4745144	100
3	1209600	99.995500	4933155	4932933	100
3	1238400	99.995379	4977264	4977034	100
3	1267200	99.995999	5099194	5098990	100
3	1296000	99.996367	5284588	5284396	100
3	1353600	99.996198	5444169	5443962	100
3	1382400	99.996710	5622654	5622469	100
3	1411200	99.996136	5667640	5667421	100
3	1440000	99.996126	5781497	5781273	100
3	1468800	99.996547	5936844	5936639	100
3	1497600	99.995771	5982190	5981937	100
3	1526400	99.996796	6117403	6117207	100
3	1555200	99.996766	6277435	6277232	100
