ALGORITHM	K_I	DEPTH	K_F	MEM_PROC	MEM_DATA	PROFILES	LOGS	LOGS_OUT	TIME	LOG_TIME	MATCH	TPC_MATCH
AF	210	5	227.426971	574915720	0	0	27019255	0	508.969483696	1.883729e-05	32911	0.121806
AA	210	5	218.804871	475628453	0	0	27019130	27014662	747.078066077	2.764997e-05	31515	0.116640
SA1	210	7	210.061478	55949794	0	0	27241515	27018961	543.557507082	1.995328e-05	0	0
AF	210	7	227.779221	574914364	0	0	27018961	0	507.925454798	1.879885e-05	35113	0.129957
AA	210	7	217.756104	474586681	0	0	27018961	27014602	586.465562429	2.170570e-05	33551	0.124176
SA1	210	9	210.050110	56890148	0	0	27241515	27019290	556.312991896	2.042151e-05	0	0
AF	210	9	227.075272	574918952	0	0	27019290	0	506.541178609	1.874739e-05	35414	0.131069
AA	210	9	216.809525	474668926	0	0	27019290	27014921	586.345873484	2.170101e-05	33875	0.125373
SA1	210	11	210.050171	57319125	0	0	27241515	27019175	563.098419338	2.067060e-05	0	0
AF	210	11	227.887497	574927003	0	0	27019175	0	502.063591207	1.858175e-05	35346	0.130818
AA	210	11	220.813950	475145790	0	0	27019175	27014697	584.960255781	2.164982e-05	33608	0.124386
